status,account,balance,date,gender,age,merchant_state,amount,movement,month,day
authorized,ACC-154431271,38.42,2018-08-01,F,18,QLD,36.28,debit,8,1
authorized,ACC-3689607373,1089.59,2018-08-01,F,20,WA,15.91,debit,8,1
authorized,ACC-721712940,49756.21,2018-08-01,M,78,VIC,25.7,debit,8,1
posted,ACC-1037050564,2040.1,2018-08-01,F,40,MISSING,32.0,debit,8,1
posted,ACC-1799207998,137.14,2018-08-01,F,20,MISSING,39.0,debit,8,1
posted,ACC-2107684084,292.77,2018-08-01,M,22,MISSING,34.0,debit,8,1
posted,ACC-2173390920,28.04,2018-08-01,M,27,MISSING,29.0,debit,8,1
posted,ACC-1243371644,754.2,2018-08-01,M,42,MISSING,150.0,debit,8,1
posted,ACC-966140392,763.64,2018-08-01,M,21,MISSING,30.0,debit,8,1
authorized,ACC-1683215619,301.65,2018-08-01,M,38,NSW,20.43,debit,8,1
authorized,ACC-2901672282,1290.08,2018-08-01,M,22,NSW,31.62,debit,8,1
authorized,ACC-1652235822,18784.07,2018-08-01,F,38,VIC,16.13,debit,8,1
authorized,ACC-2615038700,29645.42,2018-08-01,F,43,VIC,937.73,debit,8,1
posted,ACC-588564840,8342.11,2018-08-01,M,23,MISSING,3903.95,credit,8,1
posted,ACC-2901672282,1195.08,2018-08-01,M,22,MISSING,95.0,debit,8,1
authorized,ACC-602667573,454.94,2018-08-01,M,40,WA,11.64,debit,8,1
authorized,ACC-414431115,27.86,2018-08-01,F,43,VIC,28.0,debit,8,1
authorized,ACC-1243371644,689.22,2018-08-01,M,42,NSW,64.98,debit,8,1
authorized,ACC-602667573,440.66,2018-08-01,M,40,NSW,14.28,debit,8,1
authorized,ACC-2615038700,29143.75,2018-08-01,F,43,QLD,501.67,debit,8,1
authorized,ACC-1334819143,58154.74,2018-08-01,M,33,VIC,17.97,debit,8,1
authorized,ACC-4258502723,589.1,2018-08-01,F,24,NSW,109.51,debit,8,1
authorized,ACC-3100725361,2058.92,2018-08-01,M,25,VIC,27.39,debit,8,1
authorized,ACC-3541460373,1109.58,2018-08-01,M,24,VIC,27.39,debit,8,1
posted,ACC-1650504218,2040.58,2018-08-01,F,23,MISSING,1626.48,credit,8,1
posted,ACC-4163822186,3071.94,2018-08-01,F,26,MISSING,46.0,debit,8,1
posted,ACC-182446574,150.08,2018-08-01,F,27,MISSING,57.0,debit,8,1
posted,ACC-3326339947,3158.51,2018-08-01,M,22,MISSING,983.36,credit,8,1
posted,ACC-3879258709,186371.86,2018-08-01,F,40,MISSING,170.0,debit,8,1
authorized,ACC-2249586092,4172.16,2018-08-01,M,19,SA,3.28,debit,8,1
authorized,ACC-3827517394,30163.44,2018-08-01,M,28,NSW,33.45,debit,8,1
posted,ACC-3541460373,2517.66,2018-08-01,M,24,MISSING,1408.08,credit,8,1
posted,ACC-3100725361,2032.92,2018-08-01,M,25,MISSING,26.0,debit,8,1
posted,ACC-2776252858,2271.79,2018-08-01,F,43,MISSING,1068.04,credit,8,1
authorized,ACC-2615038700,29128.11,2018-08-01,F,43,VIC,15.64,debit,8,1
posted,ACC-1598451071,1017.52,2018-08-01,F,26,MISSING,1013.67,credit,8,1
authorized,ACC-1799207998,119.88,2018-08-01,F,20,NSW,17.26,debit,8,1
authorized,ACC-4258502723,538.85,2018-08-01,F,24,VIC,50.25,debit,8,1
authorized,ACC-958000567,486.68,2018-08-01,F,34,NT,22.25,debit,8,1
authorized,ACC-1037050564,2029.05,2018-08-01,F,40,NSW,11.05,debit,8,1
authorized,ACC-1710017148,1609.16,2018-08-01,F,19,NSW,16.18,debit,8,1
authorized,ACC-602667573,429.2,2018-08-01,M,40,NSW,11.46,debit,8,1
posted,ACC-2305712452,86.91,2018-08-01,F,18,MISSING,36.0,debit,8,1
posted,ACC-38923874,28453.87,2018-08-01,M,38,MISSING,35.0,debit,8,1
authorized,ACC-819621312,86.3,2018-08-01,F,30,VIC,5.29,debit,8,1
authorized,ACC-1710017148,1602.58,2018-08-01,F,19,NSW,6.58,debit,8,1
authorized,ACC-1973887809,713.56,2018-08-01,M,26,WA,16.03,debit,8,1
authorized,ACC-1516130869,143.4,2018-08-01,F,21,NT,32.41,debit,8,1
authorized,ACC-966140392,750.75,2018-08-01,M,21,VIC,12.89,debit,8,1
authorized,ACC-1973887809,697.46,2018-08-01,M,26,NSW,16.1,debit,8,1
authorized,ACC-1056639002,39595.08,2018-08-01,M,22,VIC,39.92,debit,8,1
authorized,ACC-1279356312,1082.64,2018-08-01,M,44,VIC,8.1,debit,8,1
posted,ACC-4065652575,2335.35,2018-08-01,M,21,MISSING,55.0,debit,8,1
posted,ACC-3485804958,16433.32,2018-08-01,F,34,MISSING,3903.73,credit,8,1
posted,ACC-1799207998,8.06,2018-08-01,F,20,MISSING,35.0,debit,8,1
posted,ACC-1973887809,1796.37,2018-08-01,M,26,MISSING,1098.91,credit,8,1
posted,ACC-4059612845,50383.16,2018-08-01,M,38,MISSING,2647.38,credit,8,1
authorized,ACC-1608363396,1691.91,2018-08-01,M,20,NSW,13.52,debit,8,1
authorized,ACC-1799207998,43.06,2018-08-01,F,20,NSW,76.82,debit,8,1
authorized,ACC-3879258709,186344.95,2018-08-01,F,40,VIC,26.91,debit,8,1
posted,ACC-819621312,1244.45,2018-08-01,F,30,MISSING,1158.15,credit,8,1
posted,ACC-2920611728,1969.05,2018-08-01,M,69,MISSING,1043.12,credit,8,1
posted,ACC-2901672282,1162.08,2018-08-01,M,22,MISSING,33.0,debit,8,1
posted,ACC-1799207998,1403.55,2018-08-01,F,20,MISSING,1395.49,credit,8,1
posted,ACC-1349834573,7094.77,2018-08-01,M,39,MISSING,3071.14,credit,8,1
posted,ACC-4163822186,3021.94,2018-08-01,F,26,MISSING,50.0,debit,8,1
posted,ACC-958000567,300.09,2018-08-01,F,34,MISSING,168.0,debit,8,1
authorized,ACC-854938045,6941.78,2018-08-01,M,28,NSW,22.59,debit,8,1
authorized,ACC-1279356312,1067.36,2018-08-01,M,44,VIC,15.28,debit,8,1
authorized,ACC-574997646,189.55,2018-08-01,F,18,SA,5.62,debit,8,1
authorized,ACC-1443681913,492.41,2018-08-01,M,31,NSW,93.79,debit,8,1
authorized,ACC-1650504218,2025.72,2018-08-01,F,23,VIC,14.86,debit,8,1
authorized,ACC-958000567,468.09,2018-08-01,F,34,NT,18.59,debit,8,1
posted,ACC-2153562714,860.46,2018-08-01,F,24,MISSING,46.0,debit,8,1
authorized,ACC-1598451071,1006.85,2018-08-01,F,26,QLD,10.67,debit,8,1
authorized,ACC-90814749,6022.68,2018-08-01,M,35,SA,19.58,debit,8,1
posted,ACC-1349834573,7046.77,2018-08-01,M,39,MISSING,48.0,debit,8,1
authorized,ACC-964839203,27984.9,2018-08-01,M,21,NSW,26.75,debit,8,1
authorized,ACC-80388494,823.53,2018-08-01,M,28,VIC,9.21,debit,8,1
authorized,ACC-3485804958,16421.78,2018-08-01,F,34,NSW,11.54,debit,8,1
authorized,ACC-1598451071,995.57,2018-08-01,F,26,QLD,11.28,debit,8,1
authorized,ACC-964839203,27953.53,2018-08-01,M,21,QLD,31.37,debit,8,1
authorized,ACC-3881031190,445.04,2018-08-01,M,37,QLD,23.86,debit,8,1
posted,ACC-2171593283,4331.5,2018-08-01,M,19,MISSING,17.0,debit,8,1
posted,ACC-1650504218,1992.72,2018-08-01,F,23,MISSING,33.0,debit,8,1
posted,ACC-182446574,117.08,2018-08-01,F,27,MISSING,33.0,debit,8,1
posted,ACC-4281711154,35322.36,2018-08-01,M,42,MISSING,36.0,debit,8,1
authorized,ACC-1037050564,1963.94,2018-08-01,F,40,QLD,65.11,debit,8,1
authorized,ACC-854938045,6924.65,2018-08-01,M,28,TAS,17.13,debit,8,1
posted,ACC-3536132544,1679.94,2018-08-01,F,41,MISSING,43.0,debit,8,1
authorized,ACC-1217063613,34.97,2018-08-01,F,27,VIC,7.29,debit,8,1
authorized,ACC-3771436525,614.93,2018-08-01,M,20,VIC,27.82,debit,8,1
authorized,ACC-1598451071,986.58,2018-08-01,F,26,QLD,8.99,debit,8,1
authorized,ACC-1683215619,279.86,2018-08-01,M,38,NSW,21.79,debit,8,1
posted,ACC-1710017148,1569.58,2018-08-01,F,19,MISSING,33.0,debit,8,1
authorized,ACC-1598451071,976.26,2018-08-01,F,26,QLD,10.32,debit,8,1
authorized,ACC-2897221629,94.45,2018-08-01,M,23,NSW,19.04,debit,8,1
posted,ACC-2988263882,1884.41,2018-08-01,M,44,MISSING,157.0,debit,8,1
posted,ACC-1973887809,1767.37,2018-08-01,M,26,MISSING,29.0,debit,8,1
posted,ACC-1349834573,7014.77,2018-08-01,M,39,MISSING,32.0,debit,8,1
authorized,ACC-964839203,27923.06,2018-08-02,M,21,VIC,30.47,debit,8,2
authorized,ACC-3689607373,1074.43,2018-08-02,F,20,WA,15.16,debit,8,2
authorized,ACC-1496451953,163.59,2018-08-02,M,43,VIC,10.07,debit,8,2
authorized,ACC-588564840,8306.12,2018-08-02,M,23,NSW,35.99,debit,8,2
posted,ACC-1496451953,147.59,2018-08-02,M,43,MISSING,16.0,debit,8,2
authorized,ACC-37709441,128.21,2018-08-02,M,18,QLD,32.06,debit,8,2
authorized,ACC-1334819143,58111.04,2018-08-02,M,33,VIC,43.7,debit,8,2
posted,ACC-1523339231,54980.99,2018-08-02,M,40,MISSING,47.0,debit,8,2
posted,ACC-2890243754,223.93,2018-08-02,M,37,MISSING,52.0,debit,8,2
authorized,ACC-3021093232,128.76,2018-08-02,F,30,VIC,36.07,debit,8,2
posted,ACC-2270192619,6630.82,2018-08-02,M,20,MISSING,39.0,debit,8,2
posted,ACC-3536132544,1657.94,2018-08-02,F,41,MISSING,22.0,debit,8,2
authorized,ACC-3689607373,1066.35,2018-08-02,F,20,WA,8.08,debit,8,2
authorized,ACC-154431271,15.93,2018-08-02,F,18,VIC,22.49,debit,8,2
posted,ACC-2171593283,4298.5,2018-08-02,M,19,MISSING,33.0,debit,8,2
posted,ACC-2890243754,205.93,2018-08-02,M,37,MISSING,18.0,debit,8,2
posted,ACC-3481401842,213.37,2018-08-02,F,25,MISSING,46.0,debit,8,2
posted,ACC-211792489,3117.58,2018-08-02,F,30,MISSING,47.0,debit,8,2
authorized,ACC-4281711154,35305.32,2018-08-02,M,42,VIC,17.04,debit,8,2
posted,ACC-2231965366,1580.32,2018-08-02,F,35,MISSING,33.0,debit,8,2
posted,ACC-2259139624,1146.46,2018-08-02,F,19,MISSING,22.0,debit,8,2
posted,ACC-2776252858,2074.79,2018-08-02,F,43,MISSING,197.0,debit,8,2
authorized,ACC-847145727,50671.14,2018-08-02,M,19,WA,1692.56,debit,8,2
authorized,ACC-1037050564,1917.11,2018-08-02,F,40,QLD,46.83,debit,8,2
posted,ACC-2776252858,2031.79,2018-08-02,F,43,MISSING,43.0,debit,8,2
posted,ACC-574997646,38.55,2018-08-02,F,18,MISSING,151.0,debit,8,2
authorized,ACC-2828321672,463.96,2018-08-02,F,53,QLD,6.48,debit,8,2
authorized,ACC-3879258709,186236.3,2018-08-02,F,40,NSW,108.65,debit,8,2
authorized,ACC-3954677887,17.44,2018-08-02,F,47,WA,20.87,debit,8,2
authorized,ACC-4065652575,2293.86,2018-08-02,M,21,SA,41.49,debit,8,2
authorized,ACC-1598451071,968.15,2018-08-02,F,26,QLD,8.11,debit,8,2
authorized,ACC-2153562714,847.49,2018-08-02,F,24,WA,12.97,debit,8,2
authorized,ACC-354106658,4428.26,2018-08-02,F,39,VIC,46.12,debit,8,2
posted,ACC-3485804958,16394.78,2018-08-02,F,34,MISSING,27.0,debit,8,2
posted,ACC-1516130869,104.4,2018-08-02,F,21,MISSING,39.0,debit,8,2
authorized,ACC-3084464802,842.07,2018-08-02,F,19,VIC,25.7,debit,8,2
authorized,ACC-4163822186,2986.34,2018-08-02,F,26,SA,35.6,debit,8,2
authorized,ACC-1037050564,1872.72,2018-08-02,F,40,WA,44.39,debit,8,2
authorized,ACC-1037050564,1845.04,2018-08-02,F,40,QLD,27.68,debit,8,2
authorized,ACC-1037050564,1826.34,2018-08-02,F,40,NSW,18.7,debit,8,2
authorized,ACC-1037050564,1816.34,2018-08-02,F,40,QLD,10.0,debit,8,2
authorized,ACC-847145727,50657.65,2018-08-02,M,19,WA,13.49,debit,8,2
authorized,ACC-1788473090,344.8,2018-08-02,F,21,VIC,20.26,debit,8,2
authorized,ACC-1598451071,956.92,2018-08-02,F,26,QLD,11.23,debit,8,2
authorized,ACC-1279356312,1035.55,2018-08-02,M,44,VIC,31.81,debit,8,2
authorized,ACC-1598451071,949.22,2018-08-02,F,26,QLD,7.7,debit,8,2
authorized,ACC-4065652575,2285.02,2018-08-02,M,21,WA,8.84,debit,8,2
authorized,ACC-721712940,49743.84,2018-08-02,M,78,VIC,12.37,debit,8,2
authorized,ACC-559365433,159.66,2018-08-02,F,64,VIC,31.5,debit,8,2
authorized,ACC-4258502723,521.73,2018-08-02,F,24,VIC,17.12,debit,8,2
posted,ACC-3541460373,2476.66,2018-08-02,M,24,MISSING,41.0,debit,8,2
posted,ACC-4163822186,3907.05,2018-08-02,F,26,MISSING,920.71,credit,8,2
posted,ACC-1608363396,1667.91,2018-08-02,M,20,MISSING,24.0,debit,8,2
authorized,ACC-3485804958,16373.36,2018-08-02,F,34,SA,21.42,debit,8,2
authorized,ACC-1598451071,941.23,2018-08-02,F,26,QLD,7.99,debit,8,2
authorized,ACC-1598451071,931.76,2018-08-02,F,26,NSW,9.47,debit,8,2
authorized,ACC-37709441,107.79,2018-08-02,M,18,QLD,20.42,debit,8,2
authorized,ACC-1516130869,96.25,2018-08-02,F,21,NT,8.15,debit,8,2
authorized,ACC-1973887809,1742.72,2018-08-02,M,26,WA,24.65,debit,8,2
authorized,ACC-211792489,3047.08,2018-08-02,F,30,NSW,70.5,debit,8,2
authorized,ACC-414431115,4.41,2018-08-02,F,43,NSW,23.45,debit,8,2
authorized,ACC-4281711154,35254.08,2018-08-02,M,42,VIC,51.24,debit,8,2
posted,ACC-721712940,50526.26,2018-08-02,M,78,MISSING,782.42,credit,8,2
posted,ACC-3879258709,186195.3,2018-08-02,F,40,MISSING,41.0,debit,8,2
posted,ACC-966140392,715.75,2018-08-02,M,21,MISSING,35.0,debit,8,2
authorized,ACC-211792489,3008.22,2018-08-02,F,30,SA,38.86,debit,8,2
authorized,ACC-1438600314,1903.7,2018-08-02,F,35,NSW,32.97,debit,8,2
authorized,ACC-964839203,27898.89,2018-08-02,M,21,VIC,24.17,debit,8,2
posted,ACC-588564840,8189.12,2018-08-02,M,23,MISSING,117.0,debit,8,2
posted,ACC-2107684084,2511.5,2018-08-02,M,22,MISSING,2218.73,credit,8,2
posted,ACC-4274272854,2666.12,2018-08-02,M,20,MISSING,15.0,debit,8,2
authorized,ACC-2249586092,4158.41,2018-08-02,M,19,WA,13.75,debit,8,2
authorized,ACC-2897221629,86.96,2018-08-02,M,23,NSW,7.49,debit,8,2
authorized,ACC-37709441,92.48,2018-08-02,M,18,QLD,15.31,debit,8,2
authorized,ACC-3326339947,3130.0,2018-08-02,M,22,NSW,28.51,debit,8,2
posted,ACC-1349834573,6954.77,2018-08-02,M,39,MISSING,60.0,debit,8,2
posted,ACC-1903037542,1811.47,2018-08-02,M,30,MISSING,1808.62,credit,8,2
authorized,ACC-1973887809,1712.39,2018-08-02,M,26,WA,30.33,debit,8,2
authorized,ACC-2681137560,14.26,2018-08-02,M,31,NSW,20.07,debit,8,2
authorized,ACC-2920611728,1948.27,2018-08-02,M,69,VIC,20.78,debit,8,2
authorized,ACC-3827517394,30130.77,2018-08-02,M,28,NSW,32.67,debit,8,2
authorized,ACC-182446574,66.15,2018-08-02,F,27,QLD,50.93,debit,8,2
authorized,ACC-3084464802,823.87,2018-08-02,F,19,VIC,18.2,debit,8,2
authorized,ACC-4281711154,35238.13,2018-08-02,M,42,VIC,15.95,debit,8,2
authorized,ACC-1037050564,1791.0,2018-08-02,F,40,QLD,25.34,debit,8,2
posted,ACC-2988263882,2480.74,2018-08-02,M,44,MISSING,596.33,credit,8,2
posted,ACC-1037050564,1758.0,2018-08-02,F,40,MISSING,33.0,debit,8,2
posted,ACC-2970114956,6722.85,2018-08-02,M,26,MISSING,1433.98,credit,8,2
authorized,ACC-1788473090,332.57,2018-08-02,F,21,VIC,12.23,debit,8,2
authorized,ACC-3536132544,1550.27,2018-08-02,F,41,VIC,107.67,debit,8,2
authorized,ACC-2674800293,24268.73,2018-08-02,F,50,VIC,10.13,debit,8,2
authorized,ACC-1903037542,1789.31,2018-08-02,M,30,QLD,22.16,debit,8,2
authorized,ACC-3941181087,1014.72,2018-08-02,M,25,WA,41.66,debit,8,2
authorized,ACC-819621312,1236.27,2018-08-02,F,30,NSW,8.18,debit,8,2
authorized,ACC-847145727,50637.85,2018-08-02,M,19,WA,19.8,debit,8,2
authorized,ACC-2153562714,842.78,2018-08-02,F,24,WA,4.71,debit,8,2
authorized,ACC-1973887809,1663.59,2018-08-02,M,26,WA,48.8,debit,8,2
posted,ACC-414431115,1634.77,2018-08-02,F,43,MISSING,1630.36,credit,8,2
posted,ACC-3881031190,1361.79,2018-08-02,M,37,MISSING,916.75,credit,8,2
authorized,ACC-3326339947,2866.56,2018-08-02,M,22,NSW,263.44,debit,8,2
authorized,ACC-574997646,2.38,2018-08-02,F,18,NSW,36.17,debit,8,2
authorized,ACC-1788473090,326.94,2018-08-02,F,21,VIC,5.63,debit,8,2
authorized,ACC-588564840,8144.24,2018-08-02,M,23,SA,44.88,debit,8,2
posted,ACC-588564840,7963.24,2018-08-02,M,23,MISSING,181.0,debit,8,2
posted,ACC-1279356312,1020.55,2018-08-02,M,44,MISSING,15.0,debit,8,2
posted,ACC-1056639002,42790.09,2018-08-02,M,22,MISSING,3195.01,credit,8,2
posted,ACC-958000567,263.09,2018-08-02,F,34,MISSING,37.0,debit,8,2
posted,ACC-53508546,1067.25,2018-08-02,F,35,MISSING,725.32,credit,8,2
authorized,ACC-1243371644,661.06,2018-08-02,M,42,NSW,28.16,debit,8,2
authorized,ACC-2890243754,200.94,2018-08-02,M,37,NSW,4.99,debit,8,2
authorized,ACC-1243371644,636.59,2018-08-02,M,42,NSW,24.47,debit,8,2
authorized,ACC-4274272854,2658.88,2018-08-02,M,20,VIC,7.24,debit,8,2
authorized,ACC-964839203,27884.42,2018-08-02,M,21,VIC,14.47,debit,8,2
posted,ACC-588564840,7922.24,2018-08-02,M,23,MISSING,41.0,debit,8,2
posted,ACC-1683215619,230.86,2018-08-02,M,38,MISSING,49.0,debit,8,2
posted,ACC-3879258709,186174.3,2018-08-02,F,40,MISSING,21.0,debit,8,2
posted,ACC-1990648130,1540.46,2018-08-02,F,21,MISSING,135.0,debit,8,2
authorized,ACC-1344825761,13583.79,2018-08-02,F,46,NSW,97.95,debit,8,2
authorized,ACC-2673069055,11424.58,2018-08-02,M,24,QLD,13.93,debit,8,2
posted,ACC-2014856841,260464.83,2018-08-02,M,46,MISSING,50.0,debit,8,2
authorized,ACC-1243371644,605.9,2018-08-02,M,42,NSW,30.69,debit,8,2
authorized,ACC-414431115,1608.28,2018-08-02,F,43,VIC,26.49,debit,8,2
authorized,ACC-4059612845,50192.66,2018-08-02,M,38,NT,190.5,debit,8,2
authorized,ACC-3827517394,30102.06,2018-08-02,M,28,NSW,28.71,debit,8,2
authorized,ACC-3021093232,105.89,2018-08-02,F,30,WA,22.87,debit,8,2
authorized,ACC-1890605467,5748.22,2018-08-02,M,38,NSW,40.31,debit,8,2
authorized,ACC-53508546,996.97,2018-08-02,F,35,NSW,70.28,debit,8,2
posted,ACC-1279356312,979.55,2018-08-02,M,44,MISSING,41.0,debit,8,2
posted,ACC-1424176027,290.88,2018-08-02,M,22,MISSING,195.0,debit,8,2
authorized,ACC-847145727,50590.99,2018-08-02,M,19,VIC,46.86,debit,8,2
authorized,ACC-1424176027,485.88,2018-08-02,M,22,NSW,23.25,debit,8,2
authorized,ACC-2673069055,11366.83,2018-08-02,M,24,NSW,57.75,debit,8,2
posted,ACC-1056639002,42704.09,2018-08-02,M,22,MISSING,86.0,debit,8,2
posted,ACC-854938045,6866.65,2018-08-02,M,28,MISSING,58.0,debit,8,2
authorized,ACC-3317636250,147.58,2018-08-02,M,35,WA,42.94,debit,8,2
authorized,ACC-2828321672,424.01,2018-08-02,F,53,QLD,39.95,debit,8,2
authorized,ACC-3317636250,119.37,2018-08-02,M,35,QLD,28.21,debit,8,2
authorized,ACC-2970114956,6708.49,2018-08-02,M,26,VIC,14.36,debit,8,2
posted,ACC-3741880913,2795.85,2018-08-02,F,25,MISSING,32.0,debit,8,2
posted,ACC-90814749,5986.68,2018-08-02,M,35,MISSING,36.0,debit,8,2
posted,ACC-3536132544,1441.27,2018-08-02,F,41,MISSING,109.0,debit,8,2
posted,ACC-2259139624,1038.46,2018-08-02,F,19,MISSING,108.0,debit,8,2
posted,ACC-2265520058,45.89,2018-08-02,F,26,MISSING,33.0,debit,8,2
authorized,ACC-1349834573,6879.81,2018-08-02,M,39,VIC,74.96,debit,8,2
authorized,ACC-3827517394,30056.51,2018-08-02,M,28,NSW,45.55,debit,8,2
authorized,ACC-1037050564,1697.39,2018-08-02,F,40,VIC,60.61,debit,8,2
posted,ACC-354106658,4376.26,2018-08-02,F,39,MISSING,52.0,debit,8,2
posted,ACC-1334819143,58052.04,2018-08-02,M,33,MISSING,59.0,debit,8,2
authorized,ACC-847145727,50459.08,2018-08-02,M,19,NSW,131.91,debit,8,2
authorized,ACC-2270192619,6619.25,2018-08-02,M,20,SA,11.57,debit,8,2
authorized,ACC-1903037542,1768.68,2018-08-02,M,30,QLD,20.63,debit,8,2
authorized,ACC-4281711154,35205.33,2018-08-02,M,42,VIC,32.8,debit,8,2
authorized,ACC-2231965366,1564.62,2018-08-03,F,35,VIC,15.7,debit,8,3
authorized,ACC-1516130869,71.55,2018-08-03,F,21,NT,24.7,debit,8,3
authorized,ACC-2890243754,185.33,2018-08-03,M,37,QLD,15.61,debit,8,3
authorized,ACC-2259139624,1009.91,2018-08-03,F,19,VIC,28.55,debit,8,3
authorized,ACC-2173390920,6.48,2018-08-03,M,27,VIC,21.56,debit,8,3
posted,ACC-1683215619,171.86,2018-08-03,M,38,MISSING,59.0,debit,8,3
posted,ACC-2673069055,11323.83,2018-08-03,M,24,MISSING,43.0,debit,8,3
authorized,ACC-2988263882,2460.9,2018-08-03,M,44,VIC,19.84,debit,8,3
posted,ACC-3827517394,29932.51,2018-08-03,M,28,MISSING,124.0,debit,8,3
posted,ACC-1496451953,124.59,2018-08-03,M,43,MISSING,23.0,debit,8,3
posted,ACC-1710017148,1529.58,2018-08-03,F,19,MISSING,40.0,debit,8,3
authorized,ACC-2776252858,2014.57,2018-08-03,F,43,VIC,17.22,debit,8,3
authorized,ACC-3317636250,100.86,2018-08-03,M,35,QLD,18.51,debit,8,3
posted,ACC-3827517394,29867.51,2018-08-03,M,28,MISSING,65.0,debit,8,3
authorized,ACC-2270192619,6610.74,2018-08-03,M,20,SA,8.51,debit,8,3
posted,ACC-1598451071,736.76,2018-08-03,F,26,MISSING,195.0,debit,8,3
posted,ACC-1056639002,42557.09,2018-08-03,M,22,MISSING,147.0,debit,8,3
posted,ACC-3941181087,986.72,2018-08-03,M,25,MISSING,28.0,debit,8,3
posted,ACC-1990648130,1512.46,2018-08-03,F,21,MISSING,28.0,debit,8,3
authorized,ACC-3541460373,2457.1,2018-08-03,M,24,VIC,19.56,debit,8,3
posted,ACC-1523339231,54849.99,2018-08-03,M,40,MISSING,131.0,debit,8,3
posted,ACC-90814749,5876.68,2018-08-03,M,35,MISSING,110.0,debit,8,3
posted,ACC-1496451953,107.59,2018-08-03,M,43,MISSING,17.0,debit,8,3
authorized,ACC-2890243754,164.08,2018-08-03,M,37,NSW,21.25,debit,8,3
authorized,ACC-1903037542,1477.37,2018-08-03,M,30,NSW,291.31,debit,8,3
authorized,ACC-2988263882,2451.88,2018-08-03,M,44,VIC,9.02,debit,8,3
authorized,ACC-2828321672,401.05,2018-08-03,F,53,NSW,22.96,debit,8,3
authorized,ACC-1598451071,721.46,2018-08-03,F,26,QLD,15.3,debit,8,3
authorized,ACC-4281711154,35174.73,2018-08-03,M,42,VIC,30.6,debit,8,3
authorized,ACC-2897221629,19.07,2018-08-03,M,23,SA,67.89,debit,8,3
authorized,ACC-1903037542,1464.57,2018-08-03,M,30,QLD,12.8,debit,8,3
authorized,ACC-2828321672,391.94,2018-08-03,F,53,QLD,9.11,debit,8,3
