account,first_name,age,gender,balance,months,weekspayment,annual
ACC-1990648130,Kaitlyn,21,F,72529.41999999998,12,52,53927.64
ACC-1998563091,David,42,M,105414.15,12,24,91406.11999999998
ACC-2014856841,Patrick,46,M,1584768.28,12,24,113357.91999999998
ACC-2107684084,Richard,22,M,48995.72,12,24,115373.96
ACC-211792489,Jacqueline,30,F,14129.58,8,8,255366.8
ACC-2153562714,Linda,24,F,20776.760000000002,12,12,193053.12
ACC-2171593283,Fernando,19,M,93731.43,12,28,137267.52
ACC-2173390920,Luis,27,M,95447.77,12,52,72603.95999999999
ACC-2231965366,Linda,35,F,204657.84999999995,12,52,127048.47999999994
ACC-2249586092,Edward,19,M,114059.67,12,52,51508.59999999999
ACC-2259139624,Cindy,19,F,75015.58,12,24,191200.88
ACC-2265520058,Catherine,26,F,27918.85,12,24,95843.28
ACC-2270192619,Darren,20,M,53532.66,12,16,157401.4
ACC-2305712452,Debra,18,F,55894.36,12,52,39589.16
ACC-240804743,Kenneth,29,M,106299.1,12,28,229075.6
ACC-2528867619,Abigail,40,F,151094.12,12,52,101221.64
ACC-2615038700,Emily,43,F,409793.72000000003,12,52,34550.36
ACC-2650850707,Brian,42,M,792776.29,12,28,168025.52
ACC-2673069055,Richard,24,M,38285.3,8,8,313273.48
ACC-2674800293,Elizabeth,50,F,198251.88,12,28,74722.95999999999
ACC-2681137560,Nathaniel,31,M,50652.61,12,24,150099.04
ACC-2776252858,Kristin,43,F,72949.87,12,56,55538.08000000002
ACC-2828321672,Stephanie,53,F,61342.649999999994,12,52,50464.439999999995
ACC-2890243754,Joseph,37,M,39874.670000000006,12,52,47707.40000000001
ACC-2897221629,Scott,23,M,66750.5,12,52,51100.919999999984
ACC-2901672282,Daniel,22,M,59122.64,12,28,173096.04
ACC-2920611728,Tyler,69,M,94283.29000000001,12,56,54242.23999999997
ACC-2970114956,Robert,26,M,58334.280000000006,12,24,74566.95999999999
ACC-2988263882,Michael,44,M,63183.450000000004,12,48,31009.160000000003
ACC-3021093232,Melissa,30,F,105638.82000000002,12,52,85109.44
ACC-3084464802,Susan,19,F,57364.72,12,28,129239.23999999998
ACC-3100725361,Ronald,25,M,16864.59,8,8,317575.95999999996
ACC-3233697971,Robin,34,F,114575.08000000002,12,52,88992.27999999998
ACC-3317636250,Kenneth,35,M,164255.24,12,52,132327.52000000005
ACC-3326339947,Eric,22,M,116438.43,12,56,51134.720000000016
ACC-3481401842,Tiffany,25,F,67715.64,12,52,63717.159999999996
ACC-3485804958,Jessica,34,F,166920.02,12,28,202993.96
ACC-3536132544,Heather,41,F,32786.24,12,24,109278.52000000002
ACC-354106658,Christine,39,F,78807.94,12,20,265382.52
ACC-3541460373,Jeffrey,24,M,27141.67,12,28,73220.16
ACC-3689607373,Virginia,20,F,76688.05000000002,12,52,59217.08000000002
ACC-3741880913,Ashley,25,F,64581.35,12,28,118682.72
ACC-37709441,Charles,18,M,98107.03,12,28,214875.95999999996
ACC-3771436525,Derek,20,M,58654.590000000004,12,52,57184.400000000016
ACC-3827517394,Craig,28,M,244401.96,12,24,210848.04
ACC-3879258709,Natasha,40,F,1398902.5500000003,12,28,219234.08
ACC-3881031190,Richard,37,M,72025.43,12,48,47671.0
ACC-38923874,Ryan,38,M,506145.72000000003,12,52,97809.40000000002
ACC-3941181087,Paul,25,M,54667.71,12,24,139768.19999999998
ACC-3954677887,Ruth,47,F,75920.32,12,52,66168.43999999999
ACC-4059612845,Jonathan,38,M,399484.97000000003,12,28,137663.76000000004
ACC-4065652575,Lucas,21,M,83700.42000000001,12,28,186089.80000000002
ACC-414431115,Amy,43,F,26484.2,12,24,84778.72
ACC-4163822186,Karen,26,F,94134.87000000001,12,48,47876.919999999984
ACC-4258502723,Kimberly,24,F,51624.950000000004,12,52,55111.67999999999
ACC-4274272854,Timothy,20,M,42000.3,12,24,85323.16
ACC-4281711154,Eric,42,M,275038.66,12,28,91406.64
ACC-53508546,Kimberly,35,F,54704.11,12,48,37716.63999999999
ACC-559365433,Mary,64,F,36491.380000000005,12,52,29952.0
ACC-574997646,Mackenzie,18,F,26536.67,12,24,101519.08000000002
ACC-588564840,Isaiah,23,M,111215.39,12,28,203005.40000000002
ACC-602667573,Michael,40,M,171879.75999999998,12,52,118578.72
ACC-721712940,Andrew,78,M,657477.5,12,48,40685.84
ACC-80388494,Dustin,28,M,35050.32,12,24,99658.52
ACC-819621312,Michele,30,F,71436.2,12,56,60223.799999999996
ACC-847145727,Michael,19,M,350505.82999999996,12,24,148446.47999999998
ACC-854938045,James,28,M,88169.32,12,28,132011.36
ACC-90814749,Christopher,35,M,65301.329999999994,12,24,120050.84
ACC-958000567,Sandra,34,F,59807.24999999999,12,28,182915.72
ACC-964839203,Michael,21,M,467645.22,12,52,81130.40000000002
ACC-966140392,Joseph,21,M,49877.75,12,28,133791.32
